length,height,strike,dip
6170.184638,631.37378,344.6974733,80.93154088
4644.32703,582.51807,247.3520476,73.30432866
5620.025849,674.81396,168.6056524,84.97737262
3325.833263,637.69311,169.8091958,75.33055488
4701.742986,463.04249,139.5789843,41.78764655
2025.578986,520.87085,188.2760434,88.28677055
1831.855274,518.29883,327.3492809,68.97949585
15763.9919,550.45679,46.35029655,41.88459628
9486.230922,611.78808,307.8472028,85.65940566
3432.693153,555.56885,339.1336772,84.91773482
2272.603802,663.46826,320.4893778,78.92156477
7062.771816,442.27148,196.2676829,44.31163897
7873.960869,540.29541,163.6569927,83.74996519
4077.136308,760.08447,211.0186277,80.66252378
7268.393383,734.91944,353.9123727,84.66145223
2255.540733,614.56934,359.6321382,80.98773618
3030.765345,579.98486,186.2740445,81.2847579
1734.369681,569.40259,188.7303607,84.83965597
1499.00632,529.67578,213.5525093,56.53192244
2026.221179,553.52197,333.094224,79.61485275
1739.579898,541.53613,335.7382154,69.33260734
4962.821492,579.02247,335.5165648,73.25305816
4252.733338,662.04785,338.1790094,71.74014253
10109.63178,676.88379,340.2625626,71.09378099
4979.707001,643.43628,309.8199502,80.27542622
3907.137715,567.74707,345.9032278,79.32998278
3579.951602,522.33496,175.7163815,55.73060704
3149.136313,657.30566,318.5261574,78.29887687
824.5684572,680.29517,341.0875026,85.43202329
1969.442787,609.40918,335.6919463,81.1773761
2736.273217,669.8125,158.4485505,68.380954
1647.740642,692.36718,145.4272527,69.91562438
3561.830163,661.55468,157.9555168,83.38151815
4629.972893,511.93384,149.3462797,77.83218768
4975.630251,600.0105,1.823241429,85.9031242
2570.765378,658.04663,6.822823594,74.64939951
7552.490625,700.26929,355.854889,83.3093878
8093.779421,637.28931,353.2531674,82.6038784
11364.89391,676.90527,351.8625654,85.64690332
5893.367439,677.43188,168.3691404,84.42736867
3535.86127,589.40137,173.1081339,87.80041492
763.1393279,516.75757,83.50736776,86.14919336
1957.995912,523.44555,153.3368841,80.07506672
9340.641019,582.03125,159.5381766,85.72290153
3814.480605,561.57007,328.4660078,86.79853829
811.8883178,531.68701,283.82905,74.42474911
4509.946151,558.39697,112.4312372,80.81784955
2468.913572,536.14258,339.4550898,71.78685549
3704.670365,524.04785,154.7350323,64.59853834
2009.882149,581.94971,216.1756034,67.94804124
1130.100647,605.50464,222.8406187,78.21255671
2736.687468,582.93384,208.6862515,86.93724564
3131.97997,558.58838,214.336395,76.5168232
1070.984654,576.13745,326.2363296,88.40928669
1938.773968,556.42334,339.8808271,79.70756351
1420.11891,588.11036,324.0528247,70.27387369
1311.957486,515.71582,324.8571997,74.60795867
975.3997983,492.927,347.7210237,84.96976856
1849.439756,503.2666,344.9015246,71.97191427
3839.938478,501.75342,336.8314547,74.69468987
4045.810268,570.8628,152.0204692,71.48951074
1542.443051,551.80469,107.1737406,89.92774058
923.8581994,461.53173,123.2453341,89.36997831
2614.219355,504.18896,285.5536375,80.02256917
4481.190119,533.21875,153.6412208,81.96458802
836.282287,502.6919,156.5744516,83.2057744
1974.17008,510.03345,312.3045539,84.86499423
4506.847986,652.42675,357.8293986,86.24776106
3248.900045,615.23999,337.178615,83.07948717
4034.3286,585.36133,186.8139935,83.96205835
4064.124756,641.95483,205.32036,87.77567913
2343.758939,642.63892,12.98680457,77.67487948
1835.631022,526.61035,326.674638,81.31565562
1266.957047,485.15137,174.7961714,74.00028141
1561.915015,556.47168,348.2963449,71.28184619
2718.252765,587.70948,340.7160664,79.17262026
1630.81008,557.73438,342.0226498,73.18310133
3096.754511,572.33106,345.7617983,80.29438104
1239.252649,746.57153,217.4285495,77.64470936
897.4707957,766.19873,214.1348843,83.37877855
1874.703669,819.78809,212.9126328,72.52702833
1831.353188,601.27881,214.0892583,85.10312311
3041.826924,587.88086,326.3872031,85.40340972
13232.51481,736.92261,260.0477377,82.52082725
1031.306955,582.22998,3.540823998,71.00867441
11679.06564,682.5227,279.963216,62.08920843
4100.311957,686.17725,256.6128289,89.31143979
3365.001988,646.04028,72.94095487,80.71136139
495.0195111,584.32495,319.7926325,82.05830237
710.8201689,589.74109,133.8129648,86.93144192
845.9908969,620.57324,213.7750776,74.65891313
1557.325102,643.90162,291.8123833,82.80768189
1511.859534,625.2312,222.0948915,76.19011321
990.1278958,607.87353,253.1078245,77.50841209
4501.892992,590.01929,340.2755097,86.9134405
5644.619435,676.06738,205.9976278,67.10645723
6519.851265,554.04883,313.1819229,87.4354207
5780.743151,674.71143,287.1226228,74.98549403
2807.957644,632.7771,278.0575056,74.03230826
1353.123891,608.19336,289.3255938,80.1127568
2230.620584,690.33203,328.4475146,67.46058399
5068.373983,655.45801,138.0177911,83.53131951
3686.823533,776.24487,205.9385384,80.19165635
976.2844124,583.18152,238.8532006,82.42185572
2510.152088,586.9856,233.4582439,75.230125
1007.581665,666.95874,180.4694819,82.86022963
2858.124041,588.54321,62.4947338,77.12471584
6576.579716,656.11939,275.8415293,58.37572079
1799.218181,606.97338,80.83342598,74.99878693
2049.953509,632.77613,277.3878469,70.4416728
3191.095649,663.52917,67.0474404,71.58598474
2539.510694,632.77636,272.2477992,65.05127991
3905.820247,614.67089,154.0989875,77.64099745
1280.880066,532.57446,145.0346344,83.27539995
4463.39434,631.92627,313.2699051,81.09197015
4291.087158,631.9292,355.4695994,76.16649228
3636.558255,569.15601,299.1741083,83.02484911
1393.37728,654.24218,334.713012,89.21792144
5065.519075,364.74908,148.6235328,78.53320807
1262.160278,322.66342,124.752273,82.99941202
1360.404504,272.66479,133.2947185,80.72160289
371.3862978,300.37451,116.4964643,77.66249901
637.4247505,258.7477,122.6373998,83.59647467
703.7427404,240.89432,323.1457802,55.57449323
1451.949465,256.16444,329.6797443,48.1019159
9517.989457,404.15597,315.7206691,54.79848137
1288.526486,345.48151,150.7790301,71.39011918
2592.371438,378.75354,298.2885498,79.74385603
2504.514019,359.00951,36.12574884,74.65334306
1345.188209,303.03431,244.2955742,73.51262288
1241.290447,361.6941,334.4899777,68.56127488
1266.586462,463.6358,336.6246965,85.71020238
1519.970402,416.7974,29.11218719,77.63518319
